motor,direction,velocity_mps,ticks,distance_mm,moving
left,forward,0.0,0,0.0,False
left,forward,0.01,12,8.587012666666668,True
left,forward,0.02,14,10.018181444444446,True
left,forward,0.03,16,11.449350222222224,True
left,forward,0.04,13,9.302597055555555,True
left,forward,0.05,0,0.0,False
left,forward,0.060000000000000005,13,9.302597055555555,True
left,forward,0.07,7,5.009090722222223,True
left,forward,0.08,16,11.449350222222224,True
left,forward,0.09,13,9.302597055555555,True
left,forward,0.09999999999999999,10,7.15584388888889,True
left,forward,0.10999999999999999,0,0.0,False
left,forward,0.11999999999999998,9,6.440259500000001,True
left,forward,0.12999999999999998,7,5.009090722222223,True
left,forward,0.13999999999999999,2,1.431168777777778,False
left,forward,0.15,0,0.0,False
left,forward,0.16,4,2.862337555555556,False
left,forward,0.17,225,161.00648750000002,True
left,forward,0.18000000000000002,39,27.907791166666673,True
left,forward,0.19000000000000003,200,143.1168777777778,True
left,forward,0.20000000000000004,313,223.97791372222227,True
left,forward,0.21000000000000005,299,213.95973227777782,True
left,forward,0.22000000000000006,240,171.74025333333336,True
left,forward,0.23000000000000007,257,183.90518794444446,True
left,forward,0.24000000000000007,245,175.31817527777778,True
left,reverse,0.0,691,494.46881272222225,True
left,reverse,0.01,224,160.29090311111113,True
left,reverse,0.02,313,223.97791372222227,True
left,reverse,0.03,348,249.02336733333337,True
left,reverse,0.04,334,239.00518588888892,True
left,reverse,0.05,320,228.98700444444447,True
left,reverse,0.060000000000000005,352,251.88570488888894,True
left,reverse,0.07,51,36.494803833333336,True
left,reverse,0.08,1,0.715584388888889,False
left,reverse,0.09,1,0.715584388888889,False
left,reverse,0.09999999999999999,1,0.715584388888889,False
left,reverse,0.10999999999999999,2,1.431168777777778,False
left,reverse,0.11999999999999998,2,1.431168777777778,False
left,reverse,0.12999999999999998,2,1.431168777777778,False
left,reverse,0.13999999999999999,0,0.0,False
left,reverse,0.15,0,0.0,False
left,reverse,0.16,231,165.29999383333336,True
left,reverse,0.17,445,318.43505305555556,True
left,reverse,0.18000000000000002,375,268.34414583333336,True
left,reverse,0.19000000000000003,318,227.5558356666667,True
left,reverse,0.20000000000000004,335,239.7207702777778,True
left,reverse,0.21000000000000005,364,260.47271755555556,True
left,reverse,0.22000000000000006,372,266.1973926666667,True
left,reverse,0.23000000000000007,335,239.7207702777778,True
left,reverse,0.24000000000000007,67,47.944154055555565,True
right,forward,0.0,0,0.0,False
right,forward,0.01,0,0.0,False
right,forward,0.02,146,104.4753207777778,True
right,forward,0.03,257,183.90518794444446,True
right,forward,0.04,213,152.41947483333334,True
right,forward,0.05,274,196.0701225555556,True
right,forward,0.060000000000000005,296,211.81297911111113,True
right,forward,0.07,209,149.5571372777778,True
right,forward,0.08,230,164.58440944444447,True
right,forward,0.09,214,153.13505922222222,True
right,forward,0.09999999999999999,315,225.4090825,True
right,forward,0.10999999999999999,321,229.70258883333335,True
right,forward,0.11999999999999998,33,23.614284833333336,True
right,forward,0.12999999999999998,0,0.0,False
right,forward,0.13999999999999999,0,0.0,False
right,forward,0.15,185,132.38311194444447,True
right,forward,0.16,262,187.48310988888892,True
right,forward,0.17,296,211.81297911111113,True
right,forward,0.18000000000000002,339,242.58310783333337,True
right,forward,0.19000000000000003,252,180.327266,True
right,forward,0.20000000000000004,25,17.889609722222225,True
right,forward,0.21000000000000005,218,155.9973967777778,True
right,forward,0.22000000000000006,323,231.13375761111112,True
right,forward,0.23000000000000007,253,181.04285038888892,True
right,forward,0.24000000000000007,235,168.16233138888893,True
right,reverse,0.0,19,13.596103388888892,True
right,reverse,0.01,0,0.0,False
right,reverse,0.02,184,131.66752755555558,True
right,reverse,0.03,304,217.53765422222227,True
right,reverse,0.04,263,188.1986942777778,True
right,reverse,0.05,341,244.01427661111114,True
right,reverse,0.060000000000000005,242,173.17142211111113,True
right,reverse,0.07,248,177.46492844444447,True
right,reverse,0.08,357,255.46362683333334,True
right,reverse,0.09,36,25.761038000000003,True
right,reverse,0.09999999999999999,205,146.69479972222223,True
right,reverse,0.10999999999999999,232,166.01557822222225,True
right,reverse,0.11999999999999998,365,261.1883019444445,True
right,reverse,0.12999999999999998,280,200.3636288888889,True
right,reverse,0.13999999999999999,258,184.62077233333335,True
right,reverse,0.15,351,251.17012050000002,True
right,reverse,0.16,355,254.03245805555557,True
right,reverse,0.17,302,216.10648544444447,True
right,reverse,0.18000000000000002,261,186.76752550000003,True
right,reverse,0.19000000000000003,29,20.75194727777778,True
right,reverse,0.20000000000000004,233,166.73116261111113,True
right,reverse,0.21000000000000005,35,25.045453611111114,True
right,reverse,0.22000000000000006,236,168.87791577777782,True
right,reverse,0.23000000000000007,33,23.614284833333336,True
right,reverse,0.24000000000000007,231,165.29999383333336,True
